name	SRR8146935	SRR8146936	SRR8146938	SRR8146963	SRR8146968	SRR8146973
Bacillus mojavensis	0	0	0	0	0	0
Bacillus subtilis	1e-5	8e-5	1e-5	1e-5	2e-5	0
Bacillus thuringiensis	0	0	0	0	0	4e-5
Bacillus cereus	8e-5	2e-5	1.7e-4	4e-5	4e-5	1.8e-4
Bacillus mycoides	0	0	0	0	0	0
Bacillus pseudomycoides	0	0	0	1e-5	0	0
Bacillus sp. KH172YL63	0	0	0	0	0	0
Bacillus sp. FJAT-42376	0	0	0	0	0	0
Bacillus infantis	0	0	0	0	0	0
Neobacillus sp. 114	0	0	0	0	0	0
Neobacillus sp. OS1-32	0	0	0	0	0	0
Neobacillus sp. PS3-12	0	0	0	0	0	0
Neobacillus sp. PS2-9	0	0	0	0	0	0
Neobacillus sp. OS1-2	0	0	0	0	0	0
Neobacillus novalis	1e-5	1e-5	1e-5	0	0	0
Neobacillus mesonae	0	0	0	0	0	0
Neobacillus drentensis	0	0	0	0	0	0
Geobacillus subterraneus	0	0	0	0	0	1e-5
Geobacillus sp. GHH01	1e-5	2e-5	0	1e-5	0	0
Heyndrickxia coagulans	1e-5	0	1e-5	1e-5	1e-5	1e-5
Heyndrickxia vini	0	0	0	0	0	0
Peribacillus asahii	0	0	0	0	0	0
Peribacillus psychrosaccharolyticus	0	0	0	0	0	0
Peribacillus frigoritolerans	0	0	1e-5	0	0	0
Lysinibacillus sp. 2017	0	0	0	0	0	0
Lysinibacillus agricola	0	0	0	0	0	0
Lysinibacillus timonensis	0	0	0	0	0	0
Niallia circulans	0	0	0	0	0	0
Niallia taxi	0	0	0	0	0	0
Niallia sp. Man26	0	0	0	0	0	0
Halobacillus litoralis	0	0	0	0	0	0
Halobacillus naozhouensis	0	0	0	0	0	0
Sutcliffiella horikoshii	0	0	0	0	0	0
Rossellomorea marisflavi	0	0	0	0	0	0
Rossellomorea sp. KS-H15a	0	0	0	0	0	0
